Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
Marjoram Carrots,⭐⭐⭐⭐⭐,Fairly Easy,,Side Dish,30,IMG_20180609_195018909_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/46z2o2Fd52MHtxO1I1SMMg/lKfaute82RCAa3mn7Wp9Vsv6jJNk6VEa8GMV9xH_iUDPEac_qsme1OpJbXrWZ9sbk4Bxj-vglDfRlGXNiJlsPw/tUHTutanCYauMOOKXNWk3LGDaxgLwd1TLGUJfwpuunU),Pinterest,,"Carrots,Garlic",,https://www.foodandwine.com/recipes/sauteed-carrots-lemon-and-marjoram,1/8/2019,28/1/2019
Soy Mustard Salmon,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180616_181210927_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/diCO-J_3BZBK2dYb0FlVEQ/RiFTNlbtBRJ0L5ZyD_7gmG0uNddhhlv0NBMVqHnivLvUIocX449q1Na9wCZuSWvYjVrDZ51uO1b7qLBgO1pvig/WSJqAQDR6stBKKEqtyuyIm9lX3YbyYgL_hgN8BrWjmI),Sheet Pan Recipes,84,"Salmon,Soy Sauce,Dijon Mustard,Garlic,Ginger",,,6/16/2018,16/7/2018
Chive Butter Radishes,,,,,,,,,,,,6/16/2018,16/6/2018
Mango Chutney,⭐⭐⭐,Average,"Lots of chopping but easy clean up
Use less spices to allow mango and feta flavors more room",Side Dish,30,IMG_20180617_185026265_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/e3RLWys3KPlDwGn6Ta3lLA/QdAH9gSqbrDdcVUWBZqXOcrvvieNiuW2Pll5N8j-W7B3MGrpTgXMjmfw-AETi198ulILMsWpTFFrx9D34yxsjg/I75Mf992-uOsEPdIUkeim8tyESvfHwKfnh_jHBdH0jY),Sheet Pan Recipes,,"Mango,Cheese,Apple,Raisins,Bell Pepper,Jalopeno Pepper",,,9/2/2018,19/10/2018
Vegetarian Chili,,,,Main Dish,,,Taste of Home,260,"Vegetarian,Tomatoes",,,7/8/2018,8/7/2018
Sweet Potato Breakfast Burritos,⭐⭐⭐⭐,,,Main Dish,,,,,Sweet potato,,https://www.ambitiouskitchen.com/healthy-sweet-potato-black-bean-avocado-breakfast-burritos/,11/1/2018,1/12/2018
Roasted Sweet Potato Lentil Salad,⭐⭐⭐⭐⭐,Fairly Easy,"Super healthy and yummy.

Combined two rexpies, use 1 c lentils, 3 sweet potatoes and add more celery and spinach.

Also use 1/4 tsp each paprika and cumin in dressing.",Salad,45,Image 07 July 2018 02:45 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/PLc3k0lU-rrxvg_hzUMjWA/dge9t9KTRZJcsUOZyD07VVsB-v4OunhlI3nTkxUqQl3qp062TNq4gk61ce0xeoKPSQkORj1KvFNuBEcF61XDcg/zI0VzUSMNCCin6z-h4fNT7dvlveilLds_BBk6JUG4OU),Pinterest,,"Lentils,Sweet potato,Spinach,celery",,https://www.melskitchencafe.com/roasted-sweet-potato-lentil-salad/,1/17/2019,6/2/2019
Cornbread,⭐⭐⭐,Fairly Easy,,Side Dish,40,Image 15 July 2018 05:04 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/4-gsaA1rMngSYNd1yFaJEg/OUgoFxziNJNYijgxbymr3293ZENk1kkw-FNIjcwp1j30qj_CG3PbU09HJG0h-9YSLOnqF43Gea3Zx9sjUWsb6A/uLm1z0B-oTPsPAwJjfyWsFCuS_QrY39wl9va3FKdlJI),Taste of Home,450,"Butter,Milk,Flour,Corn Meal,Baking Powder",,,7/8/2018,24/8/2018
Brussel Honey Lentil Quinoa,⭐⭐⭐,Fairly Easy,,Main Dish,,Image 17 July 2018 05:44 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/7vnaUCbNLqQoBrPyjBwuOQ/XTi8mdfq6O7UU18NlwowIID927rhgoGNQjVfKWdIueJKI9zaOhUqTHVt7WVpdYgQa3bTJIxUrdVAS8XrEqcUxQ/JgrlBDjKqS6UTn5sMUO_ylQBevvs9CTSxGSjblcSOEw),,,"Brussels Sprouts ,Quinoa,Lentils,Onion",,https://www.thekitchn.com/recipe-honey-roasted-sprouts-and-lentils-and-quinoa-249782,10/15/2018,1/12/2018
Lentil Sweet Potato Curry,⭐⭐⭐⭐,Average,,Main Dish,60,Image 30 July 2018 07:44 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/hcwdtHhnJiow6X2hRjMDkQ/9Q1S4idCqu8EZSL_aum3HTFVcnpBwJX0TdXQuP1oLcHmrMkW1DSlBDEjVF4BQM2odXns6QlAtAawoakLGX1z7g/A4NQGv0nDnF5zMbLe48ZGa2227cxs0oLMpLq0OY3MII),Taste of Home,262,"Sweet potato,Apple,Lentils,Onion,Garlic,Tomatoes,Rice",,,7/30/2018,29/8/2018
Gnocci and white beans,⭐⭐⭐⭐,Average,,Main Dish,30,,Taste of Home,258,"Beans,Spinach,Tomatoes,gnocchi,Cheese",,,2/3/2019,5/3/2019
Pad Thai,⭐⭐⭐,Fairly Easy,,Main Dish,30,,Taste of Home,,"Vegetarian,Noodles",,,12/5/2018,21/1/2019
Kung Pao Chicken,⭐⭐,Fairly Easy,"Would be better with chicken breast, not legs",Main Dish,,IMG_20180825_175504336_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/xl0RyROX7ZlhfsaLRiurAg/r9TUZBJ6pG-JLviNXTga9oNs3fgd9Wf5RIqBTay8SiKo4Zi8LNL1UGOZZLFOsVhWKlQ9Z8Mmwo7WbTY3pjYHHA/NQyVF6_Kz6U9GCSBbzoPpFsENpqGONKbrLZG-Er_w6k),,,"Chicken,Peanut,Water chestnuts",,,11/20/2018,21/1/2019
Mediterranean Tuna Steaks,⭐⭐⭐,Fairly Easy,Make some rice to go with it,Main Dish,,IMG_20180914_181912580_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/MhRrM6rvwmY-WJK9_aag9w/U41mcoVsx3GWtT-PAXjJlMh72L6knI7FQdfLXhergZgioNJnQkov0COUwIcgIigmJ0S5Ao9MIoDcjmibCTdcyQ/F7DvorBuEKVIAQ2DFWJQh8O5wPJyXkty2B5HAUVMMzg),,,"Tuna,Capers",,https://howtofeedaloon.com/mediterranean-tuna-steaks/,9/14/2018,31/10/2018
Spicy Black Bean Nachos,⭐⭐,,,Main Dish,,,,,"Beans,Adobo Chile",,https://www.mexicanplease.com/spicy-black-bean-nachos/,9/17/2018,18/11/2018
Tomato Basil Soup,⭐⭐⭐⭐,Average,,Main Dish,45,IMG_20180916_182754746.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/qyKIHPWXBs0d5AQzuZa-xw/9LvmVMtpoV4tAiP8uW-tPahXxqgpSMNsJjZe7bWwd5qi0xEc2wALvv7LDWtCCYQi/aU8WucJ0rVWp47IjfEypYs4lrO8rpfsi9yyMduh4_SU),Good Housekeeping,60,"Tomatoes,Basil",,,1/12/2019,11/2/2019
Chewy Chocolate Chip COokies,⭐⭐⭐⭐⭐,Fairly Easy,,Dessert,30,IMG_20180804_143434172_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/Z0psi6WqbsUGViMlQ6o_ZQ/e7YhJBETo9l8gERmWP5iW5jJBg8edwE28HGGqLnpMmkvzyyyQztG-bFRI1c_hfpAwtgJ6USGztZlx2nFZ67clg/-tao2gNlaWMfJrul5xN54QqtcdfI1JDFLU08ci-PVpM),Pinterest,,"Butter,Chocolate Chips,Flour",,https://www.ihearteating.com/chewy-brown-sugar-chocolate-chip-cookie-recipe/,9/10/2018,30/9/2018
Quinoa Peanut Kale Curry,⭐⭐⭐⭐,Average,,Main Dish,45,IMG_20180823_204308156_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/fYNaFVInGl37PMf3DZK4cA/lzWNvsDEVAAYvkaAmAUsnPD22yCbcmQGtqyJPpHx4SDMA9bdkA_qgfwDKv_IM0V44Q6h_VxsE-U1EZfwpB6Mnw/9Q8cv8b8O-ktzMv6hbt_HW2Gn2LDulp2NSP2daodA4Q),,,"Quinoa,Kale,Peanut,Cilantro,Onion,Coconut milk",,https://www.cookinglight.com/recipes/chickpea-and-kale-curry,12/28/2018,27/1/2019
Sweet Potato Lentil Curry with Pickled Onion,⭐⭐⭐⭐,Average,,Main Dish,60,"IMG_20180813_172915204_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/zTn5kX_clagIxtKSUorruQ/KkKfX6mMFH50UrA-45RjdKhVF90cVJ17Qq3F-f78hoC5aOTJcFwPCFfrRSwixt2kIwyx7gF86q1HvmE1hipeYw/DCPgMzJxTzPHcfGgPpU_fk8_p07x8gGpwDZWIOUIb9Q),IMG_20180813_172921095_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/QfxMESO0FnZfxSWWjNH7kw/L2pyy5cW_LpDJi4sts27NyrrKaq9--WW70NymOOrtN1pvqaiqpM6RAhcSgodF8I8RADBc18oN0rlEItpgga0dw/258NegoM5SFcCueOeU9497_eDwv1t8DdApx7NpHTAPw)",,,"Sweet potato,Red onion,Lentils,Ginger,Coconut milk,Cilantro",checked,https://www.cookinglight.com/recipes/sweet-potato-and-red-lentil-curry,2/2/2019,4/3/2019
Sardine Mediterranean Pasta,⭐⭐⭐,Fairly Easy,,Main Dish,30,IMG_20180814_172611816_HDR.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/h_PpMQ5L51skaf3VnlniSQ/rM5eOqmodcoxR3NPc7z2T6NatbHa6973AFbYCmtKrC2BX5M2-jJ4D1YIDmDr9MTMcN8-9zXzK5QFEE17lRxmYg/OlAVEfp7mvwV2RbjjKinmH7chgeKLLjyVOokwu4IVZQ),,,"Sardine,Capers,Shallots,Lemon,Parsley",,https://toriavey.com/toris-kitchen/mediterranean-sardine-lemon-pasta/,2/4/2019,23/3/2019
Prosciutto apple flatbread pizza,⭐⭐⭐,Fairly Easy,,Main Dish,45,,Sheet Pan Suppers,,"Apple,Prosciutto,Cheese",,,9/23/2018,9/11/2018
Dill Cucumber Salmon,⭐⭐⭐⭐,Average,,Main Dish,30,Image 23 September 2018 09:05 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/WD_FwQyNkpqOTQsV2rSk0Q/1Nw8qBJUYI5Yj1F-B6m-iMdtrL3r51ElcVKULDe-4tD2nR1FrU3CcmD5dAyiEyB-EO8CKzTzOcy0dyF9D3O_mQ/78QimMgkVBUecU2oNyCsSfAndkiBAWbMp8kNEeAYVS4),Sheet Pan Suppers,,"Fish,Yogurt,Cucumber,Dill,Broccoli,Red onion",,,11/2/2018,2/12/2018
Vegetable Couscous,⭐⭐⭐⭐⭐,,,Main Dish,,,Good Housekeeping,380,"Couscous,Green Onion,Carrots",,,1/30/2019,19/2/2019
Talapia Tacos,⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,Sheet Pan Suppers,90,Tilapia,,,10/26/2018,25/11/2018
Roasted Mackerel,,,,,,,Taste of Home,,,,,11/30/2018,30/11/2018
Lentil Salsa Soup,⭐⭐⭐⭐,,,,,,Taste of Home,,,,,12/7/2018,6/1/2019
Pesto Tomato Penne,⭐⭐⭐,Super Simple,,Main Dish,20,,,,Pesto,,https://www.foodnetwork.com/recipes/giada-de-laurentiis/penne-with-sun-dried-tomato-pesto-recipe-1942250,1/13/2019,1/3/2019
Black Bean Soup,⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,Taste From Home,,,,,2/13/2019,15/3/2019
Balsamic Pork Chops,,,,,,,,,,,,2/14/2019,14/2/2019
